Id,Predicted
0,sadness
1,joy
2,sadness
3,sadness
4,sadness
5,sadness
6,neutral
7,sadness
8,anger
9,neutral
10,sadness
11,sadness
12,neutral
13,sadness
14,sadness
15,sadness
16,joy
17,sadness
18,sadness
19,sadness
20,sadness
21,sadness
22,sadness
23,sadness
24,sadness
25,sadness
26,sadness
27,sadness
28,sadness
29,sadness
30,sadness
31,sadness
32,sadness
33,sadness
34,sadness
35,neutral
36,anger
37,sadness
38,sadness
39,sadness
40,sadness
41,neutral
42,joy
43,sadness
44,neutral
45,sadness
46,neutral
47,sadness
48,joy
49,sadness
50,sadness
51,neutral
52,sadness
53,sadness
54,sadness
55,sadness
56,sadness
57,sadness
58,neutral
59,sadness
60,sadness
61,sadness
62,sadness
63,sadness
64,sadness
65,sadness
66,sadness
67,sadness
68,sadness
69,sadness
70,sadness
71,anger
72,sadness
73,sadness
74,sadness
75,sadness
76,sadness
77,sadness
78,neutral
79,sadness
80,sadness
81,joy
82,sadness
83,sadness
84,sadness
85,neutral
86,sadness
87,sadness
88,sadness
89,sadness
90,anger
91,sadness
92,sadness
93,sadness
94,sadness
95,sadness
96,sadness
97,sadness
98,sadness
99,anger
100,sadness
101,neutral
102,sadness
103,sadness
104,sadness
105,neutral
106,sadness
107,sadness
108,sadness
109,sadness
110,sadness
111,anger
112,anger
113,sadness
114,sadness
115,sadness
116,sadness
117,sadness
118,sadness
119,neutral
120,sadness
121,anger
122,sadness
123,anger
124,neutral
125,sadness
126,joy
127,sadness
128,neutral
129,sadness
130,sadness
131,neutral
132,sadness
133,joy
134,anger
135,sadness
136,sadness
137,sadness
138,sadness
139,neutral
140,neutral
141,sadness
142,sadness
143,sadness
144,sadness
145,sadness
146,sadness
147,sadness
148,sadness
149,joy
150,sadness
151,sadness
152,anger
153,sadness
154,sadness
155,sadness
156,sadness
157,anger
158,sadness
159,fear
160,joy
161,sadness
162,sadness
163,sadness
164,anger
165,sadness
166,neutral
167,sadness
168,sadness
169,sadness
170,sadness
171,sadness
172,neutral
173,sadness
174,sadness
175,sadness
176,sadness
177,sadness
178,sadness
179,sadness
180,sadness
181,sadness
182,neutral
183,sadness
184,neutral
185,sadness
186,sadness
187,neutral
188,sadness
189,joy
190,joy
191,sadness
192,surprise
193,sadness
194,sadness
195,sadness
196,neutral
197,sadness
198,sadness
199,sadness
200,sadness
201,sadness
202,sadness
203,sadness
204,sadness
205,sadness
206,neutral
207,sadness
208,sadness
209,disgust
210,sadness
211,sadness
212,sadness
213,sadness
214,sadness
215,sadness
216,neutral
217,sadness
218,sadness
219,sadness
220,sadness
221,sadness
222,sadness
223,joy
224,joy
225,sadness
226,joy
227,sadness
228,sadness
229,sadness
230,anger
231,sadness
232,sadness
233,neutral
234,sadness
235,sadness
236,sadness
237,neutral
238,joy
239,sadness
240,sadness
241,sadness
242,sadness
243,sadness
244,sadness
245,neutral
246,sadness
247,sadness
248,joy
249,sadness
250,sadness
251,sadness
252,sadness
253,sadness
254,sadness
255,sadness
256,sadness
257,sadness
258,sadness
259,sadness
260,sadness
261,anger
262,sadness
263,sadness
264,sadness
265,sadness
266,sadness
267,sadness
268,sadness
269,sadness
270,sadness
271,sadness
272,sadness
273,sadness
274,sadness
275,sadness
276,sadness
277,surprise
278,sadness
279,surprise
280,sadness
281,sadness
282,sadness
283,sadness
284,sadness
285,sadness
286,sadness
287,sadness
288,surprise
289,anger
290,sadness
291,sadness
292,sadness
293,sadness
294,neutral
295,sadness
296,sadness
297,neutral
298,sadness
299,neutral
300,joy
301,anger
302,sadness
303,sadness
304,sadness
305,joy
306,sadness
307,sadness
308,sadness
309,sadness
310,sadness
311,surprise
312,fear
313,sadness
314,neutral
315,sadness
316,neutral
317,sadness
318,sadness
319,anger
320,sadness
321,sadness
322,sadness
323,sadness
324,sadness
325,disgust
326,sadness
327,sadness
328,neutral
329,sadness
330,fear
331,sadness
332,joy
333,sadness
334,sadness
335,sadness
336,joy
337,sadness
338,sadness
339,sadness
340,anger
341,sadness
342,sadness
343,sadness
344,sadness
345,sadness
346,sadness
347,sadness
348,sadness
349,sadness
350,joy
351,sadness
352,sadness
353,sadness
354,sadness
355,sadness
356,sadness
357,sadness
358,neutral
359,sadness
360,sadness
361,neutral
362,sadness
363,sadness
364,neutral
365,anger
366,sadness
367,sadness
368,sadness
369,sadness
370,sadness
371,anger
372,anger
373,sadness
374,neutral
375,sadness
376,sadness
377,anger
378,sadness
379,sadness
380,sadness
381,sadness
382,anger
383,joy
384,anger
385,sadness
386,sadness
387,sadness
388,sadness
389,sadness
390,sadness
391,sadness
392,joy
393,anger
394,sadness
395,sadness
396,sadness
397,sadness
398,sadness
399,joy
400,joy
401,surprise
402,sadness
403,sadness
404,sadness
405,sadness
406,sadness
407,sadness
408,sadness
409,neutral
410,disgust
411,sadness
412,sadness
413,sadness
414,sadness
415,sadness
416,joy
417,joy
418,sadness
419,sadness
420,sadness
421,sadness
422,sadness
423,sadness
424,sadness
425,sadness
426,sadness
427,sadness
428,sadness
429,sadness
430,sadness
431,sadness
432,neutral
433,sadness
434,sadness
435,sadness
436,sadness
437,sadness
438,sadness
439,sadness
440,sadness
441,sadness
442,sadness
443,anger
444,sadness
445,anger
446,sadness
447,sadness
448,sadness
449,sadness
450,sadness
451,disgust
452,sadness
453,sadness
454,sadness
455,sadness
456,neutral
457,anger
458,neutral
459,sadness
460,sadness
461,sadness
462,sadness
463,sadness
464,sadness
465,neutral
466,sadness
467,sadness
468,sadness
469,sadness
470,sadness
471,sadness
472,sadness
