idx,sentence,emotion
1,also i was the point person on my company ' s transition from the kl - 5 to gr - 6 system .,neutral
2,you must ' ve had your hands full .,neutral
3,that i did . that i did .,neutral
4,so let ' s talk a little bit about your duties .,neutral
5,my duties ? all right .,surprise
6,"now you ' ll be heading a whole division , so you ' ll have a lot of duties .",neutral
7,i see .,neutral
8,but there ' ll be perhaps 30 people under you so you can dump a certain amount on them .,neutral
9,good to know .,neutral
10,we can go into detail,neutral
11,no don ' t i beg of you !,fear
12,"all right then , we ' ll have a definite answer for you on monday , but i think i can say with some confidence , you ' ll fit in well here .",neutral
13,really !,surprise
14,absolutely . you can relax ; you did great .,neutral
15,but then who ? the waitress i went out with last month ?,surprise
16,you know ? forget it !,non-neutral
17,"no - no - no - no , no ! who , who were you talking about ?",surprise
18,"no , i - i - i - i don ' t , i actually don ' t know",non-neutral
19,ok !,neutral
20,"all right , well .",neutral
21,i ' m gonna see if i can get a room for the night and i ' ll .,non-neutral
22,i ' ll see you later !,non-neutral
23,"yeah , sure !",neutral
24,"hey , mon .",neutral
25,hey - hey - hey . you wanna hear something that sucks .,neutral
26,do i ever .,joy
27,chris says they ' re closing down the bar .,sadness
28,no way !,surprise
29,"yeah , apparently they ' re turning it into some kinda coffee place .",neutral
30,just coffee ! where are we gonna hang out now ?,non-neutral
31,got me .,sadness
32,can i get a beer .,neutral
33,"hey , did you pick a roommate ?",neutral
34,you betcha !,joy
35,is it the italian guy ?,neutral
36,"um - mm , yeah right !",non-neutral
37,"oh my god , oh my god ! poor monica !",surprise
38,"what , what , what !",surprise
39,what !,surprise
40,he was with her when he wrote this poem .,neutral
41,"look , ' my vessel so empty with nothing inside .",neutral
42,"now that i ' ve touched you , you seem emptier still . '",neutral
43,"he thinks monica is empty , she is the empty vase !",surprise
44,you really think that is what he meant ?,non-neutral
45,"oh , totally . oh , god , oh , she seemed so happy too .",sadness
46,done .,neutral
47,hey !,non-neutral
48,hi !,non-neutral
49,what are you doing here ?,surprise
50,"ah y ' know , this building is on my paper route so i .",neutral
51,oh .,neutral
52,hi .,neutral
53,hi .,neutral
54,how ' d did it go ?,neutral
55,"oh well , the woman i interviewed with was pretty tough , but y ' know thank god mark coached me , because once i started talking about the fall line , she got all happy and wouldn ' t shut up .",joy
56,i ' m so proud of you .,joy
57,me too !,joy
58,"listen , i ' m ah , i ' m sorry i ' ve been so crazy and jealous and , it ' s just that i like you a lot , so .",non-neutral
59,i know .,neutral
60,yeah .,neutral
61,yeah .,neutral
62,ameri - can .,neutral
63,ameri - ccan .,neutral
64,ameri - can . y ' know it ' s a,neutral
65,everybody !,surprise
66,good job joe ! well done ! top notch !,joy
67,you liked it ? you really liked it ?,surprise
68,"oh - ho - ho , yeah !",joy
69,which part exactly ?,neutral
