idx,sentence,emotion
1,"oh my god , he ' s lost it . he ' s totally lost it .",non-neutral
2,what ?,surprise
3,"or ! or , we could go to the bank , close our accounts and cut them off at the source .",neutral
4,you ' re a genius !,joy
5,"aww , man , now we won ' t be bank buddies !",sadness
6,"now , there ' s two reasons .",neutral
7,hey .,neutral
8,hey !,joy
9,"ohh , you guys , remember that cute client i told you about ? i bit him .",neutral
10,where !,surprise
11,on the touchy .,neutral
12,and,neutral
13,"no , i know !",surprise
14,"i - i ' m sorry , but the moment i touch him , i just wanna throw out my old oath and take a new , dirty one .",non-neutral
15,"well , next time your massaging him , you should try and distract yourself .",neutral
16,yeah ! yeah ! yeah ! like - like when i ' m doing something exciting and i don ' t wanna get,joy
17,"thank you , joey .",neutral
18,"no - no , thank you .",neutral
19,"hey estelle , listen",neutral
20,well ! well ! well ! joey tribbiani ! so you came back huh ? they,surprise
21,what are you talkin ' about ? i never left you ! you ' ve always been my agent !,surprise
22,really !,surprise
23,yeah !,joy
24,"oh well , no harm , no foul .",neutral
25,"okay , you guys free tonight ?",neutral
26,yeah !,joy
27,tonight ? you - you didn ' t say it was going to be at nighttime .,surprise
28,yes ? yes ! how can i help you ?,neutral
29,"yeah , we werewe were just looking around .",neutral
30,"oh - oh , you ' re - you ' re fellow scholars .",surprise
31,"what exactly were you looking for , hmm ?",neutral
32,"perhaps , perhaps dr . chester stock ' s musings on the smiledon californicus ?",neutral
33,uhh .,neutral
34,"ah ahget out of here ! uh , meeting someone ? or - or are you just here to brush up on marion ' s views on evolution ?",non-neutral
35,"uh , actually i find marion ' s views far too progressionist .",neutral
36,i find marion ' s views far too progressionist .,neutral
37,"i ' m sorry , who are you ?",surprise
38,"i ' m a professor here uh , rossgeller .",neutral
39,"ross geller , why do i know that name ? it ' s uhwait ! did you write this ?",surprise
40,yes ! you ' re the person who checked out my book !,surprise
41,"y ' know , you look nothing like i would ' ve thought . you ' reyou ' re so young .",surprise
42,"well i uh , i skipped forth grade .",neutral
43,you had no right to tell me you ever had feelings for me .,anger
44,what ?,surprise
45,i was doing great with julie before i found out about you .,anger
46,"hey , i was doin ' great before i found out about you . you think it ' s easy for me to see you with julie ?",anger
47,the point is i .,non-neutral
48,"i don ' t need this right now , ok .",anger
49,"it , it ' s too late , i ' m with somebody else , i ' m happy .",non-neutral
50,this ship has sailed .,non-neutral
51,"alright , fine , you go ahead and you do that , alright ross .",non-neutral
52,fine .,anger
53, cause i don ' t need your stupid ship .,anger
54,good .,anger
55,good .,anger
56,"oh , it ' s so romantic to send people off on their honeymoon .",joy
57,"y ' know , monica and chandler are married . ross and rachel are having a baby . maybe you and i should do something .",neutral
58,all in good time my love .,neutral
59,all in good time .,neutral
60,oh shoot !,surprise
61,i left my guitar in their apartment .,non-neutral
62,well you can let me in later .,neutral
63,"i don ' t have a key , they took mine to give to you .",neutral
64,what ! they took mine to give to you !,surprise
65,why would they take away our keys ?,surprise
66,wow ! it looks like we got a lot of good stuff .,joy
67,"oh we did , but my mom got us the greatest gift of all .",joy
68,a,neutral
69,no . she ' s going to live with us for eight weeks .,neutral
70,"uh , what ?",surprise
71,yes ! she ' s gonna help us take care of the baby ! woo - hoo .,joy
72,whatyou ' re not serious .,non-neutral
73,"i mean she ' s a very nice woman , but there is no way we can take eight weeks of her .",non-neutral
74,she ' ll drive us totally crazy .,disgust
75,hi ross !,joy
76,hi roomie !,joy
77,hey ! what did you decide to do about the movie ?,neutral
78,i don ' t know !,neutral
79,it ' s not like it ' s porn !,neutral
80,"this is a serious , legitimate movie .",neutral
81,y ' know ?,neutral
82,and the nudity is really important to the story .,neutral
83,that ' s what you say about porn .,neutral
84,you ' re right . maybe i shouldn ' t even go on the call back .,neutral
85,"no ! no you should ! a lot of major actors do nude scenes ! i mean , the chance to star in a movie ? come on !",non-neutral
86,well that ' s true .,neutral
87,and i am only naked in one scene .,neutral
88,plus it sounds really great .,neutral
89,my character ' s catholic and he falls in love with this jewish girl .,neutral
90,who run away together and they get caught in this big rainstorm .,neutral
91,so we go into this barn and undress each other and hold each other .,neutral
92,it ' s really sweet and - and tender .,joy
93,"hey , what ' s up ?",neutral
94,"nothing , monica and i had a stupid fight .",sadness
95,"but you ' re still moving in together , right ? because my ad came out today .",neutral
96," wanted . female roommate , non - smoker , non - ugly .  nice !",joy
97,yeah ?,neutral
98,"i just figured y ' know , after living with you it ' d be an interesting change of pace to have a female roommate , y ' know ?",neutral
99,"someone i can learn from , someone - someone who ' s different than me .",neutral
100,and what ' s more different than me ; a guy who ' s,neutral
101,so where are we going next ?,neutral
102,this witness won ' t return my calls so we ' re gonna see if we can surprise him coming home .,neutral
103,"sur - surprise him ? we ' re not , we ' re not gonna make anybody mad are we ?",fear
104,"come on man ! listen so uh , are you gonna squeeze the perps shoes a little bit before he lawyers up ?",non-neutral
105,it ' s a witness not a perp . and no one talks like that !,non-neutral
106,"yeah , no one talks like that !",non-neutral
107,oh what ? like your mr . cop !,anger
108,"hey , i ' m more cop than you two !",anger
109,how do you figure that ?,non-neutral
110,"hello ! i ' m in the front seat , okay ? i ' m gary ' s partner !",neutral
111,i guess so .,neutral
112,here you go . thank you !,neutral
113,"wait , rach ! where ' s the other one ?",neutral
114,"oh what , you - you want both of them ?",surprise
115,"rachel karen green , where ' s the other earring !",anger
116,"okay , okay , okay , look , just don ' t freak out , but i kinda lost it .",fear
117,"i know it ' s in the apartment , but i",neutral
118,"well , what am i going to tell monica ? she wants to wear them tonight !",fear
119,tell her to wear her own earrings .,non-neutral
120,these,neutral
121,no ! no ! you lent me monica ' s earrings ! i ' m not allowed to borrow her stuff !,anger
122,why not ?,neutral
123,because i lose her stuff !,non-neutral
