Id,Predicted
0,neutral
1,joy
2,surprise
3,neutral
4,non-neutral
5,non-neutral
6,joy
7,neutral
8,neutral
9,neutral
10,joy
11,anger
12,neutral
13,surprise
14,neutral
15,non-neutral
16,neutral
17,anger
18,non-neutral
19,anger
20,neutral
21,non-neutral
22,surprise
23,neutral
24,neutral
25,joy
26,neutral
27,joy
28,joy
29,neutral
30,surprise
31,non-neutral
32,neutral
33,surprise
34,joy
35,neutral
36,neutral
37,sadness
38,surprise
39,joy
40,surprise
41,surprise
42,neutral
43,non-neutral
44,neutral
45,neutral
46,neutral
47,surprise
48,neutral
49,neutral
50,joy
51,neutral
52,neutral
53,surprise
54,neutral
55,sadness
56,surprise
57,neutral
58,anger
59,surprise
60,non-neutral
61,joy
62,neutral
63,neutral
64,neutral
65,non-neutral
66,joy
67,neutral
68,neutral
69,neutral
70,anger
71,neutral
72,neutral
73,neutral
74,joy
75,non-neutral
76,sadness
77,neutral
78,joy
79,neutral
80,anger
81,neutral
82,neutral
83,neutral
84,neutral
85,surprise
86,neutral
87,neutral
88,neutral
89,neutral
90,non-neutral
91,joy
92,non-neutral
93,neutral
94,non-neutral
95,anger
96,neutral
97,neutral
98,joy
99,non-neutral
100,neutral
101,neutral
102,non-neutral
103,neutral
104,surprise
105,surprise
106,neutral
107,non-neutral
108,neutral
109,surprise
110,non-neutral
111,non-neutral
112,non-neutral
113,non-neutral
114,neutral
115,non-neutral
116,neutral
117,non-neutral
118,joy
119,surprise
120,non-neutral
121,non-neutral
122,neutral
123,surprise
124,neutral
125,sadness
126,surprise
127,anger
128,surprise
129,neutral
130,neutral
131,neutral
132,neutral
133,neutral
134,surprise
135,neutral
136,surprise
137,surprise
138,joy
139,joy
140,surprise
141,anger
142,neutral
143,surprise
144,neutral
145,neutral
146,neutral
147,neutral
148,neutral
149,neutral
150,joy
151,joy
152,neutral
153,neutral
154,neutral
155,surprise
156,joy
157,neutral
158,neutral
159,neutral
160,neutral
161,joy
162,neutral
163,neutral
164,non-neutral
165,neutral
166,neutral
167,surprise
168,neutral
169,non-neutral
170,neutral
171,neutral
172,joy
173,surprise
174,joy
175,neutral
176,neutral
177,non-neutral
178,surprise
179,anger
180,non-neutral
181,neutral
182,neutral
183,neutral
184,non-neutral
185,joy
186,neutral
187,neutral
188,joy
189,non-neutral
190,neutral
191,surprise
192,surprise
193,joy
194,joy
195,joy
196,non-neutral
197,non-neutral
198,neutral
199,non-neutral
200,non-neutral
201,surprise
202,neutral
203,neutral
204,joy
205,neutral
206,neutral
207,non-neutral
208,neutral
209,neutral
210,non-neutral
211,non-neutral
212,joy
213,neutral
214,joy
215,neutral
216,neutral
217,neutral
218,anger
219,neutral
220,joy
221,neutral
222,joy
223,neutral
224,joy
225,neutral
226,neutral
227,surprise
228,neutral
229,neutral
230,non-neutral
231,neutral
232,non-neutral
233,joy
234,neutral
235,joy
236,neutral
237,non-neutral
238,neutral
239,neutral
240,non-neutral
241,neutral
242,neutral
243,non-neutral
244,joy
245,neutral
246,surprise
247,surprise
248,neutral
249,neutral
250,surprise
251,surprise
252,non-neutral
253,neutral
254,neutral
255,joy
256,joy
257,joy
258,anger
259,neutral
260,neutral
261,joy
262,neutral
263,neutral
264,neutral
265,surprise
266,neutral
267,neutral
268,neutral
269,surprise
270,surprise
271,joy
272,surprise
273,neutral
274,joy
275,neutral
276,neutral
277,surprise
278,neutral
279,neutral
280,neutral
281,neutral
282,surprise
283,neutral
284,non-neutral
285,neutral
286,neutral
287,neutral
288,non-neutral
289,joy
