id,utterance
0,"alright , whadyou do with him ?"
1,oh ! you ' re awake !
2,then you gotta come clean with ma ! this is not right !
3,"yeah , but this is"
4,i don ' t wanna hear it ! now go to my room !
5,i don ' t want him to tell this story for years .
6,"oh , but he will . he still tells the story how monica tried to escape from fat camp ."
7,i wasn ' t escaping .
8,then how did you get caught in the barbed wire ?
9,i was trying to help out a squirrel .
10,you were trying to eat it !
11,if
12,"come on . hello ? i ' m sorry you have the wrong number . okay , i ' ll call you later dad . i love you ."
13,"i was thinking of doing it a little shorter , you know , like andie mcdowell ' s new haircut ?"
14,"oh yeah ? oh , i can do that ."
15,really ?
16,"i ' m sorry . i am such a doofus . i ' m so sorry , i ' m so sorry ."
17,"my god , what happened ?"
18,"these new kids , they never last ."
19,"sooner or later , they all . stop lastin ' ."
20,"listen , uh , what do you say i buy you that cup of coffee now ?"
21,sure .
22,"oh my god phoebe , you ' re on fire !"
23,i know !
24,one more score to go ! you can do it !
25,don ' t touch me !
26,don ' t touch her !
27,all right ! go left ! go left ! go right ! go right !
28,i can ' t ! i can ' t ! no ! you son of a bitch !
29,phoebe !
30,oh hi ben ? no ! don ' t look at the machine !
31,feeling a little better sweetie ?
32,"well , maybe a little . i wish you hadn ' t seen me throw up ."
33,me too .
34,hey ! i just heard . what ' s up ?
35,kidney stones !
36,"now , ordinarily mr . tribbiani , we try to break up the stones up with shock waves , but they ' re to close to the bladder now ."
37,which means we can either wait for you to pass them or else go up the urethra
38,"whoa - whoa ! no - no - no - no - no , nothing is going up ! okay ? up , up is not an option ? what ' s a urethra ? are you crazy !"
39,"so what do you say , maybe sometime i hold your gun ?"
40,yeah .
41,good - good - good .
42,oh - oh !
43,"yeah , you got it right ? you got it right ? you got it ?"
44,any chance you think the couch looks good there ?
45,what ?
46,"beth is really , really sick ."
47,aw .
48,"jo ' s there , but i don ' t think there ' s anything she could do ."
49,joey ?
50,yeah .
51,do you want to put the book in the freezer ?
52,okay .
53,okay .
54,you okay ?
55,yeah .
56,really ?
57,yeah !
58,"y ' know , ever since i ran out on barry at the wedding , i have wondered whether i made the right choice ."
59,and now i know .
60,aww .
61,big day .
62,"hello ? no rejection ? i got shot down at fat camp ! boy , kids are mean when they ' re hungry ."
63,"all right so , so what do i do ?"
64,this is rachel .
65,"i mean , what are you gonna do , never going to talk to her again ?"
66,"i mean i know it ' s weird , it ' s awkward , but you gotta at least try ."
67,yeah . okay . whoa ! i almost forgot this was on your
68,we didn ' t play it !
69,oh god monica hi !
70,"i just went to your building and you weren ' t there and then this guy with a big hammer said you might be here and you are , you are !"
71,"okay , everybody , this is rachel , another lincoln high survivor ."
72,"this is everybody , this is chandler , and phoebe , and joey , and - you remember my brother ross ?"
73,"hi , sure !"
74,hi .
75,will you stop calling it your apartment !
76,but it is our apartment !
77,no it ' s not !
78,you guys ! you guys ! you ' re gonna have a baby ! they ' re gonna have a baby !
79,my sister ' s gonna have my baby !
80,"okay , but this can ' t be good for the baby ."
81,oh !
82,"hey , rachel ."
83,hi !
84,what ' s up ? you ' re voice sounded all squeaky on the phone .
85,"you are really good at that . so uh , i had fun tonight , you throw one hell of a party ."
86,"oh thanks . thanks . it was great meetin ? ya . and listen if any of my friends gets married , or have a birthday , or a tuesday"
87,"yeah , that would be great . so i guess umm , good night ."
88,"oh unless you uh , you wanna hang around ."
89,yeah ?
90,yeah . i ' ll let you play with my duck .
91,rachel ?
92,yeah .
93,i don ' t know if you heard about what happened between me and phoebe the other day _
94,no !
95,"well , we kissed . i - i - i didn ' t initiate the kiss , but - but i also didn ' t stop it , and i ' ve been feeling guilty ."
96,okay .
97,"so umm , are we cool ?"
98,okay .
99,i knew you ' d understand .
100,hi everyone .
101,"and officiating at tonight ' s blackout , is rabbi tribbiani ."
102,"well , chandler ' s old roomate was jewish , and these are the only candles we have , so . happy chanukah , everyone ."
103,"eww , look . ugly naked guy lit a bunch of candles ."
104,"ooh ! look ! look ! look ! look , there ' s joey ' s picture ! this is so exciting !"
105,"you can always spot someone who ' s never seen one of his plays before . notice , no fear , no sense of impending doom ."
106,"the exclamation point in the title scares me . y ' know , it ' s not just"
107,"oh , sh , shh . magic is about to happen ."
108,"vell , eva , ve ' ve done some excellent vork here , and i vould have to say , your pwoblem is qvite clear ."
109,no i don ' t have a ring !
110,you go get her chandler .
111,and can i give you a piece of advice ?
112,"if you do get her , don ' t let her go ."
113,trust me .
114,y ' know richard ? you are a good guy .
115,i know . i
116,what took you so long ?
117,"i got caught up and work , but i ' m quitting tomorrow ."
118,"oh , good ."
119,"so , thanks for having me over ! rach . pheebs ."
120,see ya ! what the hell was that !
121,"probably some y ' know , european good - bye thing he picked up in london ."
122,that ' s not european !
123,"well , it felt french ."
124,morning ' s here ! the morning ' s here !
125,hey ! you ' re back !
126,hey ! get into gear !
127,breakfast is near !
128,i ' ll see you tomorrow morning !
129,okay !
130,"okay , andre should be there in like 45 minutes . all rightie , bye bye . just easier that way ."
131,"oh , come on . you told me about the last dream ."
132,"no , forget it ."
133,"oh , why not . was i doing anything particularly . saucy ?"
134,"oh ! man , i never thought i ' d be here ."
135,me either .
136,every night !
137,you do not need to smoke .
138,cigarettes don ' t control you .
139,"you are a strong , confident woman , who does not need to smoke ."
140,"a strong , confident woman , who does not need to smoke ."
141,"ahh , yes , i will have a glass of the merlot and uh , he will have a white wine spritzer ."
142,woo !
143,"hey , look at that , the airport ' s moving ."
144,"hey , are we moving !"
145,are we moving ?
146,why are we moving ?
147,"hey , time - out , umm , yeah , does the captain know that we ' re moving ?"
148,oh my god .
149,"oh , my gosh ."
150,they ' ve been quiet for a long time .
151,maybe she killed him ?
152,let ' s go .
153,is that your new walk ?
154,"no , i really have to pee ."
155,is it okay for me to come in now ?
156,uh - huh
157,why is everything different ?
158,bye !
159,"no , i don ' t see anything different other than the fact that the room got so much brighter when you came into it ."
160,"well , the end table is wrong , the couch looks bizarre and don ' t even get me started on the refrigerator magnets ."
161,why ?
162,why ? because of the government .
163,hi !
164,where did you get those jeans !
165,you gave them to me !
166,"oh sure ? and hey , don ' t get me wrong , i am so happy for you guys . i just ? i miss ? hanging out ? just - just us , y ' know ?"
167,"yeah , i miss that too . i tell you what ; from now on we ' ll make time to hang out with each other ."
