Id,Predicted
0,neutral
1,neutral
2,neutral
3,neutral
4,neutral
5,joy
6,joy
7,neutral
8,neutral
9,disgust
10,disgust
11,neutral
12,anger
13,neutral
14,neutral
15,neutral
16,fear
17,anger
18,anger
19,anger
20,joy
21,anger
22,fear
23,neutral
24,neutral
25,neutral
26,neutral
27,sadness
28,neutral
29,neutral
30,anger
31,neutral
32,neutral
33,neutral
34,neutral
35,neutral
36,anger
37,anger
38,anger
39,neutral
40,neutral
41,neutral
42,joy
43,joy
44,neutral
45,neutral
46,non-neutral
47,neutral
48,neutral
49,neutral
50,neutral
51,joy
52,neutral
53,neutral
54,neutral
55,neutral
56,neutral
57,neutral
58,joy
59,neutral
60,neutral
61,neutral
62,anger
63,neutral
64,neutral
65,neutral
66,neutral
67,neutral
68,neutral
69,neutral
70,fear
71,neutral
72,anger
73,anger
74,neutral
75,neutral
76,neutral
77,neutral
78,neutral
79,neutral
80,neutral
81,neutral
82,neutral
83,neutral
84,neutral
85,neutral
86,neutral
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,neutral
95,neutral
96,neutral
97,neutral
98,neutral
99,joy
100,neutral
101,neutral
102,neutral
103,neutral
104,neutral
105,neutral
106,neutral
107,disgust
108,disgust
109,neutral
110,neutral
111,fear
112,neutral
113,neutral
114,neutral
115,neutral
116,fear
117,neutral
118,neutral
119,neutral
120,neutral
121,neutral
122,neutral
123,neutral
124,fear
125,neutral
126,neutral
127,neutral
128,neutral
129,neutral
130,neutral
131,joy
132,anger
133,neutral
134,neutral
135,neutral
136,neutral
137,neutral
138,neutral
139,neutral
140,neutral
141,fear
142,neutral
143,neutral
144,neutral
145,neutral
146,neutral
147,neutral
148,anger
149,neutral
150,fear
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,joy
157,neutral
158,neutral
159,neutral
160,anger
161,neutral
162,neutral
163,neutral
164,neutral
165,joy
166,neutral
167,neutral
168,neutral
169,neutral
170,neutral
171,neutral
172,neutral
173,neutral
174,neutral
175,joy
176,neutral
177,anger
178,neutral
179,anger
180,neutral
181,neutral
182,neutral
183,neutral
184,surprise
185,anger
186,neutral
187,anger
188,neutral
189,neutral
190,anger
191,neutral
192,neutral
193,anger
194,joy
195,anger
196,fear
197,neutral
198,neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,disgust
205,disgust
206,anger
207,neutral
208,neutral
209,neutral
210,neutral
211,neutral
212,neutral
213,non-neutral
214,joy
215,anger
216,neutral
217,neutral
218,joy
219,neutral
220,neutral
221,neutral
222,neutral
223,neutral
224,neutral
225,neutral
226,anger
227,neutral
228,neutral
229,joy
230,anger
231,neutral
232,neutral
233,neutral
234,neutral
235,neutral
236,neutral
237,neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,neutral
243,neutral
244,neutral
245,neutral
246,neutral
247,neutral
248,anger
249,fear
250,neutral
251,fear
252,neutral
253,anger
254,neutral
255,anger
256,neutral
257,neutral
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,fear
264,anger
265,neutral
266,neutral
267,neutral
268,neutral
269,anger
270,neutral
271,neutral
272,neutral
273,neutral
274,neutral
275,neutral
276,disgust
277,neutral
278,neutral
279,neutral
280,neutral
281,anger
282,neutral
283,anger
284,neutral
285,neutral
286,anger
287,neutral
288,neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,neutral
297,neutral
298,neutral
299,neutral
300,neutral
301,neutral
302,neutral
303,neutral
304,neutral
305,neutral
306,neutral
307,joy
308,neutral
309,neutral
310,neutral
311,joy
312,neutral
313,anger
314,neutral
315,neutral
316,neutral
317,neutral
318,neutral
319,neutral
320,neutral
321,neutral
322,neutral
323,joy
324,neutral
325,fear
326,neutral
327,neutral
328,neutral
329,neutral
330,joy
331,sadness
332,neutral
333,neutral
334,neutral
335,neutral
336,neutral
337,neutral
338,neutral
339,neutral
340,joy
341,anger
342,anger
343,neutral
344,neutral
345,neutral
346,anger
347,anger
348,neutral
349,fear
350,joy
351,neutral
352,neutral
353,neutral
354,neutral
355,joy
356,neutral
357,neutral
358,fear
359,neutral
360,neutral
361,neutral
362,neutral
363,neutral
364,anger
365,joy
366,fear
367,neutral
368,neutral
369,neutral
370,neutral
371,neutral
372,anger
373,neutral
374,neutral
375,neutral
376,anger
377,neutral
378,neutral
379,neutral
380,neutral
381,neutral
382,neutral
383,neutral
384,anger
385,anger
386,fear
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,neutral
393,neutral
394,neutral
395,neutral
396,neutral
397,neutral
398,neutral
399,neutral
400,sadness
401,non-neutral
402,disgust
403,neutral
404,anger
405,neutral
406,anger
407,fear
408,disgust
409,anger
410,joy
411,neutral
412,neutral
413,neutral
414,fear
415,joy
416,anger
417,neutral
418,neutral
419,neutral
420,neutral
421,neutral
422,joy
423,non-neutral
424,neutral
425,anger
426,neutral
427,neutral
428,anger
429,neutral
430,fear
431,neutral
432,neutral
433,neutral
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,neutral
443,neutral
444,neutral
445,neutral
446,neutral
447,joy
448,surprise
449,neutral
450,neutral
451,joy
452,neutral
453,neutral
454,anger
455,neutral
456,neutral
457,neutral
458,neutral
459,neutral
460,neutral
461,anger
462,neutral
463,fear
464,neutral
465,anger
466,neutral
467,disgust
468,anger
469,neutral
470,neutral
471,neutral
472,neutral
473,neutral
474,neutral
475,neutral
476,neutral
477,neutral
478,neutral
479,neutral
480,anger
481,neutral
482,fear
483,joy
484,neutral
485,anger
486,neutral
487,neutral
488,neutral
489,anger
490,neutral
491,neutral
492,neutral
493,joy
494,neutral
495,neutral
496,neutral
497,neutral
498,neutral
499,neutral
500,neutral
501,neutral
502,joy
503,neutral
504,neutral
505,neutral
506,sadness
507,fear
508,fear
509,neutral
510,fear
511,fear
512,neutral
513,fear
514,neutral
515,neutral
